icao,iata,name,callsign,country,active
AAA,AN,Ansett Australia,ANSETT,Australia,Y
AAB,W9,Abelag Aviation,ABG,Belgium,N
AAC,,Army Air Corps,ARMYAIR,United Kingdom,N
AAD,,Aero Aviation Centre Ltd.,SUNRISE,Canada,N
AAF,ZI,Aigle Azur,AIGLE AZUR,France,Y
AAG,KI,Air Atlantique,ATLANTIC,United Kingdom,N
AAH,AQ,Aloha Airlines,ALOHA,United States,Y
AAI,,Air Aurora,BOREALIS,United States,N
AAJ,,Air Alma,AIR ALMA,Canada,N
AAK,,Alaska Island Air,ALASKA ISLAND,United States,N
AAL,AA,American Airlines,AMERICAN,United States,Y
AAM,,Aviation Management Corporation,AM CORP,United States,N
AAN,WD,Amsterdam Airlines,AMSTEL,Netherlands,Y
AAO,,Atlantis Airlines (USA),ATLANTIS AIR,United States,N
AAP,,Aerovista Airlines,AEROVISTA GROUP,United Arab Emirates,N
AAQ,,Copterline,COPTERLINE,Finland,Y
AAR,OZ,Asiana Airlines,ASIANA,Republic of Korea,Y
AAS,4K,Askari Aviation,AL-AAS,Pakistan,Y
AAT,,Austrian Airtransport,,Austria,N
AAU,,Australia Asia Airlines,AUSTASIA,Australia,N
AAV,,Astro Air International,ASTRO-PHIL,United States,N
AAW,8U,Afriqiyah Airways,AFRIQIYAH,Libya,Y
AAX,,Afric'air Express,AFREX,Ivory Coast,N
AAY,G4,Allegiant Air,ALLEGIANT,United States,Y
AAZ,,Angus Aviation,ANGUS,Canada,N
ABA,,Artem-Avia,ARTEM-AVIA,Ukraine,N
ABB,,African Business and Transportations,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
ABD,CC,Air Atlanta Icelandic,ATLANTA,Iceland,Y
ABE,K5,Aban Air,ABAN,Iran,N
ABF,,Aerial Oy,SKYWINGS,Finland,N
ABG,,Abakan-Avia,ABAKAN-AVIA,Russia,N
ABH,,Hokuriki-Koukuu Company,,Japan,N
ABI,U1,Aviabus,,Russia,Y
ABJ,,Abaet,Abaet,Brazil,N
ABK,,Alberta Citylink,ALBERTA CITYLINK,Canada,N
ABL,BX,Air Busan,Air Busan,Republic of Korea,Y
ABM,,Aero Albatros,ALBATROS ESPANA,Spain,N
ABN,,Air Fret Senegal, ,Senegal,N
ABO,,APSA Colombia,AEROEXPRESO,Colombia,N
ABP,,Aba Air,BAIR,Czech Republic,N
ABQ,ED,Airblue,PAKBLUE,Pakistan,Y
ABR,AG,Air Contractors,CONTRACT,Ireland,N
ABS,9T,Transwest Air,ATHABASKA,Canada,Y
ABT,,Air Brousse,AIR BROUSSE,Canada,N
ABU,,Aerovias Bueno,AEROBUENO,Colombia,N
ABV,04,Antrak Air,ANTRAK,Ghana,N
ABW,RU,AirBridge Cargo,AIRBRIDGE CARGO,Russia,N
ABX,GB,Airborne Express,ABEX,United States,N
ABY,G9,Air Arabia,ARABIA,United Arab Emirates,Y
ABZ,,ATA Brasil,ATA-BRAZIL,Brazil,N
ACA,AC,Air Canada,AIR CANADA,Canada,Y
ACC,,Avcard Services,,United Kingdom,N
ACD,,Academy Airlines,ACADEMY,United States,N
ACE,,Race Cargo Airlines,Fastcargo,Ghana,N
ACF,,Centro de Formacion Aeronautica de Canarias,FORCAN,Spain,N
ACG,,Air Partner,AIR PARTNER,United Kingdom,N
ACI,SB,Air Caledonie International,AIRCALIN,France,Y
ACK,DV,Nantucket Airlines,ACK AIR,United States,N
ACL,9X,Itali Airlines,ITALI,Italy,N
ACM,,Air Caledonia,WEST CAL,Canada,N
ACN,,Central American Airlines,AEROCENTRO,Nicaragua,N
ACO,,Aero Comondu,AERO COMONDU,Mexico,N
ACP,8V,Astral Aviation,ASTRAL CARGO,Kenya,Y
ACQ,N6,Nuevo Continente,AERO CONTINENTE,Peru,N
ACR,,Aerocenter, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
ACS,,Air Cess,,Liberia,N
ACU,,Air Cargo Transportation System,AFRISPIRIT,Kenya,N
ACV,,Air Charter Service,,United Kingdom,N
ACW,,Royal Air Force,AIR CADET,United Kingdom,N
ACX,,Air Charters,PARAIR,Canada,N
ACY,,Atlas Cargo Lines,ATLAS CARGOLINES,Morocco,N
ADA,,Airservices Australia,AUSCAL,Australia,N
ADB,,Antonov Airlines,ANTONOV BUREAU,Ukraine,N
ADC,,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,N
ADD,,Advanced Air Co.,,Japan,N
ADE,ZY,Ada Air,ADA AIR,Albania,Y
ADG,,Aerea Flying Training Organization,AEREA TRAINING,Spain,N
ADH,AP,Air One,HERON,Italy,Y
ADI,,Audeli Air,AUDELI,Spain,N
ADJ,,Abicar,ABICAR,Ivory Coast,N
ADK,Z7,ADC Airlines,ADCO,Nigeria,N
ADL,,Aero Dynamics,COTSWOLD,United Kingdom,N
ADM,,Aerolineas Dominicanas,DOMINAIR,Dominican Republic,N
ADN,,Aerodienst GmbH,AERODIENST,Germany,N
ADO,HD,Hokkaido International Airlines,AIR DO,Japan,Y
ADP,,Aerodiplomatic,AERODIPLOMATIC,Mexico,N
ADQ,,Avion Taxi,AIR DATA,Canada,N
ADR,JP,Adria Airways,ADRIA,Slovenia,Y
ADS,,Aviones de Sonora,SONORAV,Mexico,N
ADT,,Air Dorval,AIR DORVAL,Canada,N
ADU,,Airdeal Oy,AIRDEAL,Finland,N
ADV,,Advance Air Charters,ADVANCE,Canada,N
ADW,,Air Andaman,AIR ANDAMAN,Thailand,N
ADX,,Anderson Aviation,ANDAX,United States,N
ADY,,Aerodyne,AERODYNE,United States,N
AEA,UX,Air Europa,EUROPA,Spain,Y
AEB,EM,Aero Benin,AEROBEN,Benin,Y
AEC,,Aerocesar, Aerovias Del Cesar,AEROCESAR,N
AED,,Aerotrans Airlines,,Russia,N
AEE,A3,Aegean Airlines,AEGEAN,Greece,Y
AEF,YP,Aero Lloyd (YP),,Germany,N
AEG,,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,N
AEH,RX,Aviaexpress,Avex,Hungary,N
AEI,,Aeroexpreso Interamericano,INTERAM,Colombia,N
AEJ,,Air Express,KHAKI EXPRESS,Tanzania,N
AEK,,Aerocon,AEROCON,Bolivia,N
AEL,PE,Air Europe,AIR EUROPE,Italy,Y
AEM,,Aero Madrid,AEROMADRID,Spain,N
AEN,,Aeroenlaces Nacionales,,Mexico,N
AEO,,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,N
AEP,,Aerotec,AEROTEC,Spain,N
AEQ,,Air Express,LUNA,Sweden,N
AER,KO,Alaska Central Express,ACE AIR,United States,Y
AES,,ACES Colombia,ACES,Colombia,Y
AET,,Aeronautical Radio of Thailand,AEROTHAI,Thailand,N
AEU,5W,Astraeus,FLYSTAR,United Kingdom,Y
AEV,,Aeroventas,AEROVENTAS,Mexico,N
AEW,VV,Aerosvit Airlines,AEROSVIT,Ukraine,Y
AEX,,Airway Express,AVCO,United States,N
AEY,I9,Air Italy,AIR ITALY,Italy,Y
AEZ,,Aerial Transit Company,AERIAL TRANZ,United States,N
AFA,,Alfa Air,BLUE ALFA,Czech Republic,N
AFB,WK,American Falcon,AMERICAN FALCON,Argentina,N
AFC,,African West Air,AFRICAN WEST,Senegal,N
AFD,,Panorama Flight Service,AIRFED,United States,N
AFE,,Airfast Indonesia,AIRFAST,Indonesia,N
AFG,FG,Ariana Afghan Airlines,ARIANA,Afghanistan,Y
AFH,,Air Fecteau,FECTO,Canada,N
AFI,,Africaone,AFRICAWORLD,Uganda,N
AFJ,,Alliance,JAMBO,Uganda,N
AFK,,Africa Air Links,AFRICA LINKS,Sierra Leone,N
AFL,SU,Aeroflot Russian Airlines,AEROFLOT,Russia,Y
AFO,,Aero Empresa Mexicana,AERO EMPRESA,Mexico,N
AFP,,Portuguese Air Force,PORTUGUESE AIR FORCE,Portugal,N
AFQ,,Alba Servizi Aerotrasporti,ALBA,Italy,N
AFR,AF,Air France,AIRFRANS,France,Y
AFS,,Air Data,,United Kingdom,N
AFU,Q9,Afrinat International Airlines,,Gambia,N
AFV,,Air Afrique Vacancies,AFRIQUE VACANCE,Ivory Coast,N
AFW,,Afrique Regional Airways,AFRAIR,Ivory Coast,N
AFX,,Airfreight Express, ,United Kingdom,N
AFY,,Africa Chartered Services,AFRICA CHARTERED,Nigeria,N
AFZ,,Africa Freight Services,AFREIGHT,Zambia,N
AGA,,Aeronaves Del Centro,,Venezuela,N
AGB,G8,Air Service Gabon,,Gabon,N
AGC,,Arab Agricultural Aviation Company,AGRICO,Egypt,N
AGE,,Servicios Aereos de Los Angeles,AEROANGEL,Mexico,N
AGF,,Atlantic Gulf Airlines,ATLANTIC GULF,United States,N
AGG,,Algoma Airways,ALGOMA,Canada,N
AGH,,Altagna,ALTAGNA,France,N
AGM,,Air Guam,AIR GUAM,United States,N
AGN,GN,Air Gabon,GOLF NOVEMBER,Gabon,N
AGO,,Angola Air Charter,ANGOLA CHARTER,Angola,N
AGP,,AERFI Group,AIR TARA,Ireland,N
AGQ,,Aerogala,GALASERVICE,Chile,N
AGR,,United States Department Of Agriculture,AGRICULTURE,United States,N
AGT,1A,Amadeus Global Travel Distribution,AMADEUS,Spain,N
AGU,,Angara Airlines,SARMA,Russia,N
AGV,7T,Air Glaciers,AIR GLACIERS,Switzerland,Y
AGW,,Aero Gambia,AERO GAMBIA,Gambia,N
AGX,,Aviogenex,GENEX,Serbia,Y
AGY,,Aero Flight Service,FLIGHT GROUP,United States,N
AGZ,,Agrolet-Mci,AGROLET,Slovakia,N
AHA,GD,Air Alpha Greenland,AIR ALPHA,Denmark,N
AHC,,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,N
AHD,,Czech Air Handling,AIRHANDLING,Czech Republic,N
AHE,,Airport Helicopter Basel, Muller & Co.,AIRPORT HELICOPTER,N
AHF,,Aspen Helicopters,ASPEN,United States,N
AHG,,Aerochago Airlines,AEROCHAGO,Dominican Republic,N
AHH,,Airplanes Holdings,AIRHOLD,Ireland,N
AHI,,Servicios Aereos de Chihuahua Aerochisa,AEROCHISA,Mexico,N
AHK,LD,Air Hong Kong,AIR HONG KONG,Hong Kong,N
AHM,,Garrison Aviation,AIR HURON,Canada,N
AHO,HH,Air Hamburg (AHO),Air Hamburg,Germany,Y
AHP,,Aerochiapas,AEROCHIAPAS,Mexico,N
AHR,,Air Adriatic,ADRIATIC,Croatia,N
AHS,,Air Viggi San Raffaele,AIRSAR,Italy,N
AHT,,HTA Helicopteros,HELIAPRA,Portugal,N
AHU,,ABC Air Hungary,ABC HUNGARY,Hungary,N
AHW,HT,Aeromist-Kharkiv,AEROMIST,Ukraine,N
AHY,J2,Azerbaijan Airlines,AZAL,Azerbaijan,Y
AIA,U3,Avies,AVIES,Estonia,Y
AIB,AP,Airbus Industrie,AIRBUS INDUSTRIE,France,N
AIC,AI,Air India Limited,AIRINDIA,India,Y
AIE,,Air Inuit,AIR INUIT,Canada,N
AIF,,Compania Aerea de Valencia,,Spain,N
AIG,,Air Inter Gabon, ,Gabon,N
AIH,,Alpine Air Chile,ALPINE CHILE,Chile,N
AII,,Air Integra,INTEGRA,Canada,N
AIJ,,ABC Aerolineas,ABC AEROLINEAS,Mexico,N
AIK,,African Airlines International Limited,AFRICAN AIRLINES,Kenya,N
AIL,,Air Illinois,AIR ILLINOIS,United States,N
AIM,,Trabajos Aereos Murcianos,PIJO,Spain,N
AIN,,African International Airways,FLY CARGO,Swaziland,N
AIO,,United States Air Force,AIR CHIEF,United States,Y
AIP,5A,Alpine Air Express,ALPINE AIR,United States,N
AIQ,FD,Thai AirAsia,THAI ASIA,Thailand,Y
AIR,,Airlift International,AIRLIFT,United States,Y
AIS,,Air Sureste,SURESTE,Spain,N
AIT,,Airest, ,Estonia,N
AIU,,Alicante Internacional Airlines,ALIA,Spain,N
AIV,,Airvias S/A Linhas Aereas,AIRVIAS,Brazil,N
AIW,,Atlantic Island Airways,TARTAN,Canada,N
AIX,,Aircruising Australia,CRUISER,Australia,N
AIY,,Aircrew Check and Training Australia,AIRCREW,Australia,N
AIZ,IZ,Arkia Israel Airlines,ARKIA,Israel,Y
AJA,,A J Services,AYJAY SERVICES,United Kingdom,N
AJB,,Aero JBR,AERO JBR,Mexico,N
AJC,,Bar Harbor Airlines,BAR HARBOR,United States,N
AJE,,Aero Jet Express,JET EXPRESS,Mexico,N
AJF,,Avia Consult Flugbetriebs,AVIACONSULT,Austria,N
AJI,,Ameristar Jet Charter,AMERISTAR,United States,N
AJJ,,A2 Jet Leasing,ATLANTIC JET,United States,N
AJK,,Allied Air,BAMBI,Nigeria,N
AJM,JM,Air Jamaica,JAMAICA,Jamaica,Y
AJO,,Aeroejecutivo,AEROEXO,Mexico,N
AJP,,Aero Jets Corporativos,AEROJETS,Mexico,N
AJS,,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,N
AJT,M6,Amerijet International,AMERIJET,United States,N
AJU,,Air Jetsul,AIRJETSUL,Portugal,N
AJV,,ANA & JP Express,AYJAY CARGO,Japan,N
AJW,,Alpha Jet International,ALPHAJET,United States,N
AJX,NQ,Air Japan,AIR JAPAN,Japan,Y
AJY,,Ajet,AYJET,Cyprus,N
AKA,,Air Korea Co. Ltd.,,Republic of Korea,Y
AKB,,Aktjubavia,KARAB,Kazakhstan,N
AKC,,Arca Aerovias Colombianas Ltda.,ARCA,Colombia,N
AKF,,Anikay Air Company,ANIKAY,Kyrgyzstan,N
AKG,,84 Squadron Royal Air Force @ RAF Akrotiri,GRIFTER,United Kingdom,N
AKH,,Akhal,AKHAL,Turkmenistan,N
AKI,,Ibk-Petra, ,Sudan,N
AKK,,Aklak Air,AKLAK,Canada,N
AKL,4A,Air Kiribati,,Kiribati,Y
AKM,,Mak Air,MAKAIR,Kazakhstan,N
AKN,,Alkan Air,ALKAN AIR,Canada,N
AKR,,Arctic Air,Arctic Norway,Norway,N
AKT,V2,Karat,AVIAKARAT,Russia,N
AKW,,Angkor Airways,ANGKORWAYS,Cambodia,N
AKX,EH,Air Nippon Network Co. Ltd.,ALFA WING,Japan,N
AKY,,Yak-Service,YAK-SERVICE,Russia,N
AKZ,,AK Navigator LLC,ABSOLUTE,Kazakhstan,N
ALB,,Aero Albatros,ALBATROS,Mexico,N
ALC,,Southern Jersey Airways, Inc.,ACOM,N
ALD,,Albion Aviation,ALBION,United Kingdom,N
ALE,,Aeroalas Colombia,AEROALAS,Colombia,N
ALF,,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,N
ALG,,Air Logistics,AIRLOG,United States,N
ALJ,,Heli Ambulance Team,ALPIN HELI,Austria,N
ALK,UL,SriLankan Airlines,SRILANKAN,Sri Lanka,Y
ALL,,Aerovallarta,VALLARTA,Mexico,N
ALM,,Air ALM,ANTILLEAN,Netherlands Antilles,N
ALN,,Air Lincoln,CHICAGO LINCOLN,United States,N
ALO,,Allegheny Commuter Airlines,ALLEGHENY,United States,Y
ALP,,Alpliner AG,ALPINER,Switzerland,N
ALQ,,Altair Aviation (1986),ALTAIR,Canada,N
ALR,,Lineas Aereas Alaire S.L.,AEROLAIRE,Spain,N
ALS,NV,Naka Nihon Airlines Service,,Japan,N
ALU,,Air Luxor STP,LUXORJET,Sao Tome and Principe,N
ALV,,Alas de Venezuela,ALVEN,Venezuela,N
ALW,,Alas Nacionales, S.A.,ALNACIONAL,N
ALX,EO,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,N
ALY,,Alyeska Air Service,ALYESKA,United States,N
ALZ,,Alta Flights (Charters) Ltd., ,Canada,N
AMA,,ATMA,ADIK,Kazakhstan,N
AMB,1I,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany,N
AMC,KM,Air Malta,AIR MALTA,Malta,Y
AMD,,Aerolineas Medellin,AEROLINEAS MEDELLIN,Colombia,N
AME,,Spanish Air Force,AIRMIL,Spain,N
AMF,,Ameriflight,AMFLIGHT,United States,N
AMG,,Air Minas Linhas A,AIR MINAS,Brazil,N
AMH,,Alan Mann Helicopters Ltd.,MANN,United Kingdom,N
AMI,,Air Maldives,AIR MALDIVES,Maldives,N
AMJ,,Aviation Amos,AVIATION AMOS,Canada,N
AMK,,Amerer Air,AMER AIR,Austria,N
AML,QM,Air Malawi,MALAWI,Malawi,Y
AMM,,Aeroputul International Marculesti,AEROM,Moldova,N
AMN,,Air Montenegro,MONTENEGRO,Montenegro,N
AMO,,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,N
AMP,,Aero Transporte S.A. (ATSA),ATSA,Peru,N
AMQ,,Aeromedicare Ltd.,LIFELINE,United Kingdom,N
AMR,,Air Specialties Corporation,AIR AM,United States,N
AMS,,Air Muskoka,AIR MUSKOKA,Canada,N
AMT,,ATA Airlines,AMTRAN,United States,Y
AMU,NX,Air Macau,AIR MACAO,Macao,Y
AMV,,AMC Airlines,,Egypt,Y
AMW,ZV,Air Midwest,AIR MIDWEST,United States,N
AMX,AM,AeroMéxico,AEROMEXICO,Mexico,Y
AMY,,Air Ambar,AIR AMBAR,Dominican Republic,N
AMZ,,Amiya Airline,AMIYA AIR,Nigeria,N
ANA,NH,All Nippon Airways,ALL NIPPON,Japan,Y
ANB,,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,N
ANC,,Anglo Cargo,ANGLO,United Kingdom,N
AND,,National Jet Service,AIR INDIANA,United States,N
ANE,YW,Air Nostrum,AIR NOSTRUM,Spain,Y
ANG,PX,Air Niugini,NUIGINI,Papua New Guinea,Y
ANH,,Alajnihah for Air Transport,ALAJNIHAH,Libya,N
ANI,,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,N
ANK,EL,Air Nippon,ANK AIR,Japan,Y
ANL,,Nacoia Lda,AIR NACOIA,Angola,N
ANM,,Antares Airtransport, Maintenance & Service GmbH,ANTARES,N
ANO,TL,Airnorth,TOPEND,Australia,Y
ANQ,,Aerol,ANTIOQUIA,Colombia,N
ANS,,Andes Lineas Aereas,AEROANDES,Argentina,N
ANT,4N,Air North Charter - Canada,AIR NORTH,Canada,Y
ANU,,Andalus Lineas Aereas,Andalus,Spain,Y
ANV,,Air Nevada,AIR NEVADA,United States,N
ANW,,Aviacion Del Noroeste, S.A. de C.V.,AVINOR,N
ANX,,Secretaria de Marina,SECRETARIA DEMARINA,Mexico,N
ANZ,NZ,Air New Zealand,NEW ZEALAND,New Zealand,Y
AOA,,Alcon Servicios Aereos, S.A. de C.V.,ALCON,N
AOC,J6,AVCOM,AERO AVCOM,Russia,N
AOD,,Aero Vodochody,AERO CZECH,Czech Republic,N
AOE,,Air One Executive, ,Italy,N
AOF,,Atair Pty Ltd.,ATAIR,South Africa,N
AOG,2D,Aero VIP,AVIP,Argentina,N
AOI,,Astoria, Inc.,ASTORIA,N
AOK,,Aeroatlantico Colombia,,Colombia,N
AOL,,Angkor Airlines,ANGKOR AIR,Cambodia,N
AOM,IW,AOM French Airlines,French Lines,France,N
AON,,Aero Entreprise,AERO ENTERPRISE,France,N
AOO,,As, Opened Joint Stock Company,COMPANY AS,N
AOP,,Aeropiloto,AEROPILOTO,Portugal,N
AOR,,Afro International Ent. Limited,INTER-AFRO,Nigeria,N
AOS,,Servicios Aerecs Del Sol, S.A. de C.V.,AEROSOL,N
AOT,OE,Asia Overnight Express,ASIA OVERNIGHT,Philippines,N
AOU,,Air Tractor,AIR TRACTOR,Croatia,N
AOV,,Aero Vision,AEROVISION,France,N
AOW,2Y,Air Andaman (2Y),AIR ANDAMAN,Thailand,N
AOX,,Aerotaxi Del Valle,AEROVALLE,Colombia,N
APA,,Air Park Aviation Ltd.,CAN-AM,Canada,N
APC,,Airpac Airlines, Inc.,AIRPAC,N
APD,,Sabre Pacific,,Australia,N
APE,,Parcel Express,AIR PARCEL,United States,N
APF,,Amapola Flyg AB,AMAPOLA,Sweden,N
APG,,Air People International,AIR PEOPLE,Thailand,N
APH,,Alpha Aviation, Inc.,AIRFLIGHT,N
API,,ASA Pesada, Lda.,ASA PESADA,N
APJ,,Air Print, S.A.,AIR PRINT,N
APL,,Appalachian Flying Service, Inc.,APPALACHIAN,N
APM,,Airpac, Inc.,ALASKA PACIFIC,N
APO,,Aeropro,AEROPRO,Canada,N
APP,,Aerolineas Pacifico Atlantico, S.A. (Apair),AEROPERLAS,N
APQ,,Aspen Aviation,ASPEN BASE,United States,N
APT,,LAP Colombia - Lineas Aereas Petroleras, S.A.,LAP,N
APU,,Aeropuma, S.A.,AEROPUMA,N
APV,,Air Plan International,AIR PLAN,Democratic Republic of the Congo,N
APW,JW,Arrow Air,BIG A,United States,Y
APX,,Apex Air Cargo,PARCEL EXPRESS,United States,N
APY,,APA Internacional,APA INTERNACIONAL,Dominican Republic,N
AQA,,Aeroatlas, S.A.,ATCO,N
AQL,,Aquila Air Ltd.,AQUILA,Canada,N
AQN,,Air Queensland,BUSHAIR,Australia,N
AQO,,Aluminum Company Of America,ALCOA SHUTTLE,United States,N
AQT,,Aviones de Renta de Quintana Roo, S.A. de C.V.,AVIOQUINTANA,N
AQU,,AirQuarius Aviation,QUARIUS,South Africa,N
AQZ,,Aerodyne Charter Company,QUANZA,United States,N
ARA,W3,Arik Air,ARIK AIR,Nigeria,N
ARB,,Avia Air N.V.,AVIAIR,Aruba,N
ARC,,Air Routing International Corp., ,United States,N
ARD,2B,Aerocondor,AEROCONDOR,Portugal,Y
ARE,4C,Aires, Aerovias de Integracion Regional, S.A.,Y
ARF,GV,Aero Flight,Aero Fox,Germany,Y
ARG,AR,Aerolineas Argentinas,ARGENTINA,Argentina,Y
ARH,,Arrowhead Airways,ARROWHEAD,United States,N
ARI,,Aero Vics,AEROVICS,Mexico,N
ARJ,,Aerojet de Costa Rica, S.A.,,N
ARK,,Aero Link Air Services S.L.,LINK SERVICE,Spain,N
ARL,,Airlec - Air Aquitaine Transport,AIRLEC,France,N
ARM,,Aeromarket Express,AMEX,Spain,N
ARO,,Arrow Aviation Ltd.,ARROW,Canada,N
ARP,,RPA-Aviataxi Ltd.,,Russia,N
ARQ,,Armstrong Air, Inc.,ARMSTRONG,N
ARR,QN,Air Armenia,AIR ARMENIA,Armenia,N
ARS,,Aeromet Servicios,METSERVICE,Chile,N
ART,,Aerotal Aerolineas Territoriales de Colombia Ltda,AEROTAL,Colombia,N
ARU,,Aruba Airlines,,Aruba,Y
ARV,,Aravco Ltd.,ARAVCO,United Kingdom,N
ARW,,Aria,ARIABIRD,France,N
ARX,,Air Xpress, Inc.,AIREX,N
ARY,,Argosy Airways,GOSEY,United States,N
ARZ,,Air Resorts,AIR RESORTS,United States,N
ASA,AS,Alaska Airlines, Inc.,ALASKA,Y
ASB,,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,N
ASC,,Air Star Corporation,AIR STAR,Canada,N
ASD,4D,Air Sinai,AIR SINAI,Egypt,Y
ASE,PL,Airstars,MOROZOV,Russia,N
ASF,,Air Schefferville, Inc.,SCHEFF,N
ASG,,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa,N
ASH,YV,Mesa Airlines,AIR SHUTTLE,United States,Y
ASI,,Aerosun International, Inc.,AEROSUN,N
ASJ,,Air Satellite,SATELLITE,Canada,N
ASK,,La Ronge Aviation Services,AIR SASK,Canada,N
ASL,JU,Air Serbia,AIR SERBIA,Serbia,Y
ASM,,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa,N
ASN,,Air and Sea Transport, ,Russia,N
ASO,,Aero Slovakia,AERO NITRA,Slovakia,N
ASP,,Airsprint,AIRSPRINT,Canada,N
ASQ,EV,Atlantic Southeast Airlines,ACEY,United States,Y
ASR,,All Star Airlines, Inc.,ALL STAR,N
ASS,,Air Class, S.A. de C.V.,AIR CLASS,N
AST,,Aerlineas Del Oeste,AEROESTE,Mexico,N
ASU,,Compania Boliviana de Transporte Aereo Privado Aerosur, S.A.,ASUR,N
ASV,,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,N
ASW,,Air Southwest Ltd.,AIRSOUTHWEST,Canada,N
ASX,,Air Special,AIRSPEC,Czech Republic,N
ASY,,Royal Australian Air Force,AUSSIE,Australia,N
ASZ,OB,Astrakhan Airlines,AIR ASTRAKHAN,Russia,Y
ATA,,Air Transport Association,,United States,N
ATB,,Atlantair Ltd.,STARLITE,Canada,N
ATC,TC,Air Tanzania,TANZANIA,Tanzania,Y
ATD,,Aerotours Dominicana,AEROTOURS,Dominican Republic,N
ATE,,Atlantis Transportation Services, Ltd.,ATLANTIS CANADA,N
ATF,,Compania Aerotecnicas Fotograficas,AEROTECNICAS,Spain,N
ATG,,Aerotrans Airline,BACHYT,Kazakhstan,N
ATH,,Air Travel Corp.,AIR TRAVEL,United States,N
ATI,HC,Aero-Tropics Air Services,,Australia,N
ATJ,,Air Traffic GmbH,SNOOPY,Germany,N
ATK,,AeroTACA,AEROTACA,Colombia,N
ATL,,Aerocentral,CENTRALMEX,Mexico,N
ATM,FO,Airlines Of Tasmania,AIRTAS,Australia,Y
ATN,8C,Air Transport International,AIR TRANSPORT,United States,N
ATP,,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia,N
ATQ,,Air Transport Schiphol,MULTI,Netherlands,N
ATR,,Atlas Airlines,ATLAS-AIR,United States,N
ATS,,Air Transport Service,,Democratic Republic of the Congo,N
ATT,,Aer Turas,AERTURAS,Ireland,N
ATU,,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary,N
ATV,,Avanti Air,AVANTI AIR,Germany,N
ATW,,Aero Trades (Western) Ltd.,AERO TRADES,Canada,N
ATX,,Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom,N
AUA,OS,Austrian Airlines,AUSTRIAN,Austria,Y
AUB,IQ,Augsburg Airways,AUGSBURG-AIR,Germany,Y
AUC,,Transaustralian Air Express,AUSCARGO,Australia,N
AUD,,Audi Air, Inc.,AUDI AIR,N
AUF,,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany,N
AUH,MO,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates,Y
AUI,PS,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine,Y
AUJ,,Business Flight Salzburg,AUSTROJET,Austria,N
AUK,,AUOS,AUOS,United Kingdom,N
AUL,5N,Aeroflot-Nord,DVINA,Russia,Y
AUM,,Air Atlantic Uruguay,ATLAMUR,Uruguay,N
AUN,,Aviones Unidos,AVIONES UNIDOS,Mexico,N
AUO,,Empresa (Aero Uruguay), S.A.,UNIFORM OSCAR,N
AUP,,Avia Business Group,,Russia,N
AUR,GR,Aurigny Air Services,AYLINE,United Kingdom,Y
AUS,NO,Aus-Air,,Australia,N
AUT,AU,Austral Lineas Aereas,AUSTRAL,Argentina,Y
AUU,,Aurora Aviation, Inc.,AURORA AIR,N
AUX,,Air Uganda International Ltd.,,Uganda,N
AUY,,Aerolineas Uruguayas, S.A.,AUSA,N
AUZ,AO,Australian Airlines,AUSTRALIAN,Australia,N
AVA,AV,Avianca - Aerovias Nacionales de Colombia, S.A.,AVIANCA,Y
AVB,,Aviation Beaufort,BEAUPAIR,United Kingdom,N
AVD,,Alamo Aviacion, S.L.,ALAMO,N
AVE,VE,Avensa,Avensa,Venezuela,N
AVF,,Aviair Aviation Ltd.,CARIBOO,Canada,N
AVG,,Air Falcon,DJIBOUTI FALCON,Djibouti,N
AVH,,AV8 Helicopters,KENT HELI,United Kingdom,N
AVJ,,Avia Traffic Company,ATOMIC,Kyrgyzstan,N
AVK,,AV8 Helicopters,AVIATE-COPTER,South Africa,N
AVM,,Aviacion Ejecutiva Mexicana, S.A.,AVEMEX,N
AVN,NF,Air Vanuatu,AIR VAN,Vanuatu,Y
AVO,,Aviation at Work,AVIATION WORK,South Africa,N
AVP,,Avcorp Registrations,AVCORP,United Kingdom,N
